cGPA,attendance,passed_percent,sex,hsGPA,ethnicity,failed_course
2.804237276246659,20.72977640105351,44.26405439066871,1.0,1.3754727709055057,0.0,0.0
2.801956463306296,35.256924140995,45.85984090444567,0.0,1.979025060055677,0.0,0.0
2.707675156257878,30.902179191886155,59.624674664915126,0.0,1.3921497995677297,1.0,0.0
2.43046063390571,35.741389993302136,79.01612869884893,1.0,1.6296009698476162,1.0,0.0
2.7156548756487098,32.6912359255643,76.9881416421749,1.0,1.9205020510855073,2.0,0.0
2.851261035499535,19.37842577130736,74.79258981882009,1.0,1.4944510187783528,1.0,0.0
2.599206141152318,44.72359814727103,61.952933456153374,0.0,1.960913709693072,1.0,0.0
2.6713705180503498,36.517202625710816,52.50569351637626,0.0,1.557243650701043,1.0,0.0
2.6847387840328554,35.705036067525654,69.60833336863357,1.0,1.2636882126309597,1.0,0.0
2.8634206001495683,50.96249123671599,53.24650109387606,1.0,2.59045106472645,1.0,0.0
2.7041826900728836,41.985571516550905,47.94292380242745,1.0,2.1899405409206985,2.0,0.0
2.504495327424656,27.64441495152663,72.12629910356895,1.0,2.3959306942704934,1.0,0.0
2.848439227253091,36.81391920566799,53.53362532604936,1.0,2.546313636853144,1.0,0.0
2.5610876110548233,44.355459029831685,66.88472981228658,0.0,2.914404465566423,2.0,0.0
2.890285068810282,22.269210895482313,60.26363368729626,1.0,2.1123075594619003,2.0,0.0
2.6876246736950633,24.606229310706702,78.19063416063167,0.0,1.538539111010307,1.0,0.0
2.8514094751075687,18.15829033965401,54.64210836098676,0.0,1.4904807872628538,2.0,0.0
2.7352161386895806,44.55432938757963,52.70277249410161,1.0,1.924754155941923,0.0,0.0
2.9005888439705068,33.239101190958564,61.67418003336125,1.0,1.2513914251054055,2.0,0.0
2.593152382303082,46.690656699786935,71.15067814488314,1.0,1.7877913601875641,1.0,0.0
2.993910283369433,30.7549698780522,53.767197915819125,1.0,1.3254129943632975,1.0,0.0
2.8670922646016437,41.300982800467764,56.83739600723776,0.0,2.2950899123799644,2.0,0.0
2.986397929762515,27.108753005013398,57.52217823467271,1.0,1.358645570224569,2.0,0.0
2.6149485905684586,48.53353595566358,33.685708607607154,0.0,2.556456734369254,0.0,0.0
2.7580499284999562,34.1525372981124,56.55700516947426,1.0,1.8709967292253462,1.0,0.0
2.6389007983239146,20.54054496940518,71.97254908281884,0.0,2.1808485545826093,1.0,0.0
2.7892777184985706,49.65207014720444,53.397710528871436,1.0,1.289640124441462,1.0,0.0
2.870331472614833,22.893788569603394,60.61438576283148,1.0,1.7414830983067517,2.0,0.0
2.8119997101823424,26.59050649485118,62.76984874538516,0.0,1.9035824992114312,1.0,0.0
2.753037511053534,44.18746608715339,52.71905494240811,1.0,1.9101896532714264,2.0,0.0
2.5978157759496687,36.03045204255401,57.339863809742454,0.0,2.1917922550221913,2.0,0.0
2.792138298965698,36.009647946854834,58.70939884403312,0.0,1.97099910189605,2.0,0.0
2.6254578306274787,30.005192317018768,73.90638357912519,1.0,1.8484937269086923,0.0,0.0
2.727145367284172,26.26546346941584,61.257767880191814,1.0,1.6274046563128637,2.0,0.0
2.940893442469108,40.1305534097127,39.75928377898798,1.0,2.7186150884956812,1.0,0.0
2.552773866566437,42.55835530687724,57.35868601638597,0.0,1.2487419834196882,2.0,0.0
3.0682007972012357,21.89910735271146,62.766949859235346,0.0,3.048469723025521,1.0,0.0
2.7524258790225775,43.56570492762654,67.83130911059429,0.0,2.244729043369215,1.0,0.0
2.9802003878993752,29.06839493313997,41.428031178026146,1.0,2.3749245557178735,0.0,0.0
2.8300884125949484,31.392200470458846,82.33556396603207,0.0,0.0,1.0,0.0
3.039315912409051,32.2403916033136,66.01889214553084,1.0,1.7108612039186086,2.0,0.0
2.7368372139182022,33.11710666701781,68.74551281779652,1.0,2.1018526688668104,1.0,0.0
2.644571475044561,32.24189587313694,82.96054946624923,0.0,2.0089892819245043,1.0,0.0
2.770288150298505,28.308232932965275,37.64668435107883,1.0,2.5890226011027027,0.0,0.0
2.7261507703283705,24.072609785780582,56.74064677455888,0.0,2.6702222337840147,0.0,0.0
2.7804265056557615,15.051841869173202,56.214024284662145,0.0,2.066161682592839,1.0,0.0
2.7078071316165344,21.240533434703174,70.11096618460076,1.0,2.1277036700400966,2.0,0.0
2.6377343466092698,53.526287063605906,63.862454959636665,1.0,2.6175749452996184,1.0,0.0
2.8634263587121027,32.20258757669741,51.82470377192315,1.0,2.179148609662159,2.0,0.0
2.7365168920561715,36.44672713326992,52.4458063308728,0.0,1.806613718541021,2.0,0.0
2.79496054896679,23.864204812414172,36.22604184373629,0.0,2.225974927446806,2.0,0.0
2.7023499063532146,36.536131428797034,46.444707399014376,1.0,1.8625895950024218,2.0,0.0
2.857133131832713,14.673336492619299,56.12550891253791,1.0,1.873597020323105,2.0,0.0
2.857952417249992,20.28617785559226,62.58350318769304,0.0,2.3534059326875467,2.0,0.0
3.050834489513279,29.33595602272794,56.05410153634273,1.0,1.7054954336968629,1.0,0.0
2.595812717491071,39.60524452249519,72.4536655568539,0.0,1.097106863229867,2.0,0.0
2.8294728794097908,28.54723553760666,56.813439380518226,0.0,2.183869418481764,1.0,0.0
2.8992893056584523,26.129258327732714,36.596120632060035,0.0,1.4078214186571993,1.0,0.0
